year,area_code,area,ethnic_group,number,denominator,percent,confidence
2004,E12000007,London,White,"2,518,200","3,430,000",73.4,1.2
2004,E12000008,South East,White,"3,750,400","4,819,400",77.8,0.6
2004,E12000009,South West,White,"2,307,600","3,037,100",76,0.8
2004,W92000004,Wales,White,"1,259,100","1,810,500",69.5,0.9
2004,S92000003,Scotland,White,"2,346,000","3,212,600",73,0.8
2004,N92000002,Northern Ireland,White,"714,000","1,082,100",66,2.1
2004,E92000001,England,White,"21,417,400","28,714,700",74.6,0.3
2004,K04000001,England and Wales,White,"22,676,600","30,525,200",74.3,0.3
2004,K03000001,Great Britain,White,"25,022,600","33,737,800",74.2,0.2
2004,K02000001,United Kingdom,White,"25,736,600","34,819,900",73.9,0.2
2004,E09000001,City of London,Minority,,,,
2004,E09000002,Barking and Dagenham,Minority,"17,400","28,800",60.4,12.6
2004,E09000003,Barnet,Minority,"41,700","66,600",62.6,11.3
2004,E09000004,Bexley,Minority,"13,000","16,800",77.4,17
2004,E09000005,Brent,Minority,"53,500","92,100",58.1,8.5
2004,E09000006,Bromley,Minority,"13,200","19,100",69.3,18.9
2004,E09000007,Camden,Minority,"24,000","47,700",50.4,11.7
2004,E09000008,Croydon,Minority,"45,800","67,000",68.4,10.6
2004,E09000009,Ealing,Minority,"61,900","100,500",61.6,8.7
2004,E09000010,Enfield,Minority,"30,300","47,700",63.4,12.7
2004,E09000011,Greenwich,Minority,"23,400","41,400",56.4,11.4
2004,E09000012,Hackney,Minority,"25,100","62,700",40,9.1
2004,E09000013,Hammersmith and Fulham,Minority,"15,400","31,400",49.1,14.6
2004,E09000014,Haringey,Minority,"25,400","58,800",43.2,9.2
2004,E09000015,Harrow,Minority,"38,200","61,000",62.7,10.6
2004,E09000016,Havering,Minority,"6,300","9,300",67.9,26
2004,E09000017,Hillingdon,Minority,"25,500","38,500",66.4,12.6
2004,E09000018,Hounslow,Minority,"34,400","56,400",61.1,9.6
2004,E09000019,Islington,Minority,"17,900","39,800",45,11
2004,E09000020,Kensington and Chelsea,Minority,"14,200","29,400",48.2,12.5
2004,E09000021,Kingston upon Thames,Minority,"10,000","16,500",60.3,16.6
2004,E09000022,Lambeth,Minority,"37,200","69,400",53.6,11.4
2004,E09000023,Lewisham,Minority,"31,400","52,700",59.6,10.9
2004,E09000024,Merton,Minority,"24,600","35,600",69.2,12
2004,E09000025,Newham,Minority,"58,900","109,700",53.7,7.7
2004,E09000026,Redbridge,Minority,"45,500","69,100",65.9,9.3
2004,E09000027,Richmond upon Thames,Minority,"5,900","11,800",49.6,21.9
2004,E09000028,Southwark,Minority,"35,400","62,300",56.8,11.2
2004,E09000029,Sutton,Minority,"8,900","12,700",69.8,18.5
2004,E09000030,Tower Hamlets,Minority,"30,200","74,000",40.8,7.8
2004,E09000031,Waltham Forest,Minority,"35,000","67,300",52,9.2
2004,E09000032,Wandsworth,Minority,"31,200","49,100",63.5,11.5
2004,E09000033,Westminster,Minority,"26,800","52,800",50.8,10.5
2004,E13000001,Inner London,Minority,"373,000","739,800",50.4,2.9
2004,E13000002,Outer London,Minority,"534,600","858,200",62.3,2.7
2004,E12000001,North East,Minority,"27,400","48,600",56.3,6.7
2004,E12000002,North West,Minority,"140,300","272,000",51.6,3.4
2004,E12000003,Yorkshire and The Humber,Minority,"126,100","243,200",51.9,4.6
2004,E12000004,East Midlands,Minority,"122,600","207,800",59,3.9
2004,E12000005,West Midlands,Minority,"208,800","387,000",53.9,3.5
2004,E12000006,East,Minority,"133,500","195,100",68.5,3.6
2004,E12000007,London,Minority,"907,600","1,598,000",56.8,2
2004,E12000008,South East,Minority,"217,300","318,000",68.3,2.8
2004,E12000009,South West,Minority,"59,900","84,600",70.8,5.4
2004,W92000004,Wales,Minority,"26,700","45,900",58.1,6.8
2004,S92000003,Scotland,Minority,"41,700","75,200",55.5,6.7
2004,N92000002,Northern Ireland,Minority,"6,300","9,500",66.8,22.8
2004,E92000001,England,Minority,"1,943,500","3,354,300",57.9,1.1
2004,K04000001,England and Wales,Minority,"1,970,200","3,400,200",57.9,1.1
2004,K03000001,Great Britain,Minority,"2,011,900","3,475,400",57.9,1.1
2004,K02000001,United Kingdom,Minority,"2,018,200","3,484,800",57.9,1.1
2004,E09000001,City of London,Mixed,,,,
2004,E09000002,Barking and Dagenham,Mixed,"1,800","1,800",100,
2004,E09000003,Barnet,Mixed,"2,200","2,200",100,
2004,E09000004,Bexley,Mixed,,"1,500",,
2004,E09000005,Brent,Mixed,"1,600","3,600",45.3,
2004,E09000006,Bromley,Mixed,"1,800","2,400",75,
2004,E09000007,Camden,Mixed,"2,400","3,200",74.1,
2004,E09000008,Croydon,Mixed,"2,300","3,500",65.5,
2004,E09000009,Ealing,Mixed,"3,400","4,800",71,37.6
2004,E09000010,Enfield,Mixed,"1,000","1,700",59.7,
2004,E09000011,Greenwich,Mixed,800,"2,000",41.8,
2004,E09000012,Hackney,Mixed,"1,600","3,800",42.8,
2004,E09000013,Hammersmith and Fulham,Mixed,"1,300","1,800",73.2,
2004,E09000014,Haringey,Mixed,"1,200","2,800",45.2,
2004,E09000015,Harrow,Mixed,"1,200","2,000",61.3,
2004,E09000016,Havering,Mixed,,,,
2004,E09000017,Hillingdon,Mixed,"1,900","3,400",55.8,
2004,E09000018,Hounslow,Mixed,"1,300","2,500",51.7,
2004,E09000019,Islington,Mixed,"2,100","4,200",50.2,35.5
2004,E09000020,Kensington and Chelsea,Mixed,"2,000","2,900",71.1,36.2
2004,E09000021,Kingston upon Thames,Mixed,"1,000","1,500",66.8,
2004,E09000022,Lambeth,Mixed,"3,000","7,000",43.3,
2004,E09000023,Lewisham,Mixed,"1,900","3,500",53.2,
2004,E09000024,Merton,Mixed,"2,400","3,900",61.5,
2004,E09000025,Newham,Mixed,"1,300","1,900",70.1,
2004,E09000026,Redbridge,Mixed,900,"1,500",61.6,
2004,E09000027,Richmond upon Thames,Mixed,"2,100","3,000",70.4,
2004,E09000028,Southwark,Mixed,"3,400","5,000",67.3,40.3
2004,E09000029,Sutton,Mixed,,,,
2004,E09000030,Tower Hamlets,Mixed,"2,300","3,000",76.8,36.2
2004,E09000031,Waltham Forest,Mixed,"1,400","2,300",60.9,
2004,E09000032,Wandsworth,Mixed,"1,800","4,500",41,
2004,E09000033,Westminster,Mixed,900,"3,100",29.4,
2004,E13000001,Inner London,Mixed,"25,300","46,600",54.4,11.6
2004,E13000002,Outer London,Mixed,"28,500","44,200",64.5,11.8
2004,E12000001,North East,Mixed,"2,400","4,600",53,21.2
2004,E12000002,North West,Mixed,"9,900","19,300",51.2,13.1
2004,E12000003,Yorkshire and The Humber,Mixed,"11,400","17,500",64.8,15.9
2004,E12000004,East Midlands,Mixed,"9,600","15,700",61.2,13.9
2004,E12000005,West Midlands,Mixed,"12,500","25,000",50.1,13.6
2004,E12000006,East,Mixed,"12,500","18,100",68.8,11.8
2004,E12000007,London,Mixed,"53,900","90,800",59.3,8.3
2004,E12000008,South East,Mixed,"30,800","44,300",69.6,7.6
2004,E12000009,South West,Mixed,"11,900","16,500",72.2,11.9
2004,W92000004,Wales,Mixed,"5,800","8,700",66.7,15
2004,S92000003,Scotland,Mixed,"7,300","10,300",70.9,16.1
2004,N92000002,Northern Ireland,Mixed,,600,,
2004,E92000001,England,Mixed,"154,900","251,900",61.5,3.9
2004,K04000001,England and Wales,Mixed,"160,700","260,600",61.7,3.8
2004,K03000001,Great Britain,Mixed,"168,000","270,900",62,3.7
2004,K02000001,United Kingdom,Mixed,"168,200","271,500",62,3.7
2004,E09000001,City of London,Indian,,,,
2004,E09000002,Barking and Dagenham,Indian,"3,200","5,900",53.7,29.2
2004,E09000003,Barnet,Indian,"17,400","26,100",66.5,17.6
2004,E09000004,Bexley,Indian,"5,100","6,900",74.1,28.3
2004,E09000005,Brent,Indian,"22,200","31,400",70.8,13.4
2004,E09000006,Bromley,Indian,"1,800","4,500",39.8,
2004,E09000007,Camden,Indian,"2,200","2,600",83.2,
2004,E09000008,Croydon,Indian,"9,700","13,100",73.7,23
2004,E09000009,Ealing,Indian,"23,900","34,300",69.5,14.4
2004,E09000010,Enfield,Indian,"9,300","11,800",78.6,21.8
2004,E09000011,Greenwich,Indian,"5,200","6,700",77.9,23.9
2004,E09000012,Hackney,Indian,"1,200","3,500",33.1,
2004,E09000013,Hammersmith and Fulham,Indian,800,"1,100",73.9,
2004,E09000014,Haringey,Indian,"2,900","5,400",53.9,30.9
2004,E09000015,Harrow,Indian,"21,700","31,000",70,14
2004,E09000016,Havering,Indian,900,"1,100",76.1,
2004,E09000017,Hillingdon,Indian,"10,700","13,700",78.4,18.6
2004,E09000018,Hounslow,Indian,"19,200","29,000",66.1,13.1
2004,E09000019,Islington,Indian,"2,400","2,900",81.3,34.9
2004,E09000020,Kensington and Chelsea,Indian,,"1,900",25.4,
2004,E09000021,Kingston upon Thames,Indian,"1,800","2,700",68.2,
2004,E09000022,Lambeth,Indian,"4,300","5,300",81.4,33.4
2004,E09000023,Lewisham,Indian,"2,000","2,400",82.3,
2004,E09000024,Merton,Indian,"4,500","7,600",59.8,27.7
2004,E09000025,Newham,Indian,"12,800","23,900",53.6,16.6
2004,E09000026,Redbridge,Indian,"21,900","30,700",71.1,13.4
2004,E09000027,Richmond upon Thames,Indian,800,"1,700",46.7,
2004,E09000028,Southwark,Indian,"1,300","2,100",65.2,
2004,E09000029,Sutton,Indian,"1,500","1,900",75.3,
2004,E09000030,Tower Hamlets,Indian,"1,200","2,800",42.5,
2004,E09000031,Waltham Forest,Indian,"3,300","5,700",57.8,31.9
2004,E09000032,Wandsworth,Indian,"5,900","8,000",73.8,27.2
2004,E09000033,Westminster,Indian,"3,600","4,400",80.7,28.8
2004,E13000001,Inner London,Indian,"41,200","66,600",61.9,9.4
2004,E13000002,Outer London,Indian,"184,000","266,000",69.2,4.7
2004,E12000001,North East,Indian,"5,000","7,700",64.6,15.7
2004,E12000002,North West,Indian,"28,800","45,800",62.9,7.5
2004,E12000003,Yorkshire and The Humber,Indian,"28,100","42,700",65.7,10.4
2004,E12000004,East Midlands,Indian,"59,000","90,500",65.2,5.7
2004,E12000005,West Midlands,Indian,"79,400","121,800",65.2,5.4
2004,E12000006,East,Indian,"29,500","39,300",75,7.5
2004,E12000007,London,Indian,"225,100","332,600",67.7,4.2
2004,E12000008,South East,Indian,"52,200","69,500",75.1,5.2
2004,E12000009,South West,Indian,"13,400","17,500",76.7,11.6
2004,W92000004,Wales,Indian,"3,100","5,100",60.4,19.6
2004,S92000003,Scotland,Indian,"7,500","10,000",74.2,16.4
2004,N92000002,Northern Ireland,Indian,"1,700","2,100",80,
2004,E92000001,England,Indian,"520,500","767,400",67.8,2.2
2004,K04000001,England and Wales,Indian,"523,600","772,400",67.8,2.2
2004,K03000001,Great Britain,Indian,"531,100","782,500",67.9,2.2
2004,K02000001,United Kingdom,Indian,"532,800","784,600",67.9,2.2
2004,E09000001,City of London,Pakistani/Bangladeshi,,,,
2004,E09000002,Barking and Dagenham,Pakistani/Bangladeshi,"2,400","4,900",50.3,31.6
2004,E09000003,Barnet,Pakistani/Bangladeshi,"2,200","3,200",67.7,
2004,E09000004,Bexley,Pakistani/Bangladeshi,,,,
2004,E09000005,Brent,Pakistani/Bangladeshi,"4,300","8,500",50.4,28.8
2004,E09000006,Bromley,Pakistani/Bangladeshi,,"1,300",,
2004,E09000007,Camden,Pakistani/Bangladeshi,"7,500","12,700",58.8,23
2004,E09000008,Croydon,Pakistani/Bangladeshi,"3,200","6,300",51,
2004,E09000009,Ealing,Pakistani/Bangladeshi,"6,500","13,200",49.5,24.5
2004,E09000010,Enfield,Pakistani/Bangladeshi,"1,000","1,700",58.6,
2004,E09000011,Greenwich,Pakistani/Bangladeshi,900,"1,100",76.4,
2004,E09000012,Hackney,Pakistani/Bangladeshi,"2,800","8,600",32.5,24.2
2004,E09000013,Hammersmith and Fulham,Pakistani/Bangladeshi,,,,
2004,E09000014,Haringey,Pakistani/Bangladeshi,"2,500","7,400",34.2,26
2004,E09000015,Harrow,Pakistani/Bangladeshi,"2,100","3,900",54.4,
2004,E09000016,Havering,Pakistani/Bangladeshi,900,"2,200",41.3,
2004,E09000017,Hillingdon,Pakistani/Bangladeshi,"1,600","4,900",33.3,
2004,E09000018,Hounslow,Pakistani/Bangladeshi,"3,100","6,600",47.5,30.3
2004,E09000019,Islington,Pakistani/Bangladeshi,"2,800","5,800",48.7,29.8
2004,E09000020,Kensington and Chelsea,Pakistani/Bangladeshi,"1,400","1,600",90.7,
2004,E09000021,Kingston upon Thames,Pakistani/Bangladeshi,500,500,100,
2004,E09000022,Lambeth,Pakistani/Bangladeshi,,900,,
2004,E09000023,Lewisham,Pakistani/Bangladeshi,"1,100","1,300",82.8,
2004,E09000024,Merton,Pakistani/Bangladeshi,,"1,300",,
2004,E09000025,Newham,Pakistani/Bangladeshi,"15,100","35,400",42.8,13.5
2004,E09000026,Redbridge,Pakistani/Bangladeshi,"6,700","14,900",45.2,21.2
2004,E09000027,Richmond upon Thames,Pakistani/Bangladeshi,,"1,200",,
2004,E09000028,Southwark,Pakistani/Bangladeshi,,"3,300",,
2004,E09000029,Sutton,Pakistani/Bangladeshi,,,,
2004,E09000030,Tower Hamlets,Pakistani/Bangladeshi,"16,900","44,300",38.2,9.8
2004,E09000031,Waltham Forest,Pakistani/Bangladeshi,"7,900","22,700",34.7,15.3
2004,E09000032,Wandsworth,Pakistani/Bangladeshi,"2,200","5,400",41,
2004,E09000033,Westminster,Pakistani/Bangladeshi,"2,900","8,100",36.3,26.3
2004,E13000001,Inner London,Pakistani/Bangladeshi,"56,300","135,200",41.7,6.3
2004,E13000002,Outer London,Pakistani/Bangladeshi,"45,000","99,400",45.2,8.1
2004,E12000001,North East,Pakistani/Bangladeshi,"7,300","14,900",49.1,12.5
2004,E12000002,North West,Pakistani/Bangladeshi,"44,300","101,100",43.8,5.4
2004,E12000003,Yorkshire and The Humber,Pakistani/Bangladeshi,"46,200","107,300",43.1,6.9
2004,E12000004,East Midlands,Pakistani/Bangladeshi,"12,900","30,600",42.1,10.3
2004,E12000005,West Midlands,Pakistani/Bangladeshi,"38,800","100,900",38.5,7.3
2004,E12000006,East,Pakistani/Bangladeshi,"14,400","30,600",46.9,9.5
2004,E12000007,London,Pakistani/Bangladeshi,"101,300","234,600",43.2,5
2004,E12000008,South East,Pakistani/Bangladeshi,"31,500","56,400",55.8,7
2004,E12000009,South West,Pakistani/Bangladeshi,"3,300","6,200",52.6,21.7
2004,W92000004,Wales,Pakistani/Bangladeshi,"4,800","9,600",50.6,16.5
2004,S92000003,Scotland,Pakistani/Bangladeshi,"11,800","21,900",54,13.7
2004,N92000002,Northern Ireland,Pakistani/Bangladeshi,700,"1,100",59.5,
2004,E92000001,England,Pakistani/Bangladeshi,"300,000","682,600",43.9,2.5
2004,K04000001,England and Wales,Pakistani/Bangladeshi,"304,900","692,200",44,2.4
2004,K03000001,Great Britain,Pakistani/Bangladeshi,"316,700","714,200",44.3,2.4
2004,K02000001,United Kingdom,Pakistani/Bangladeshi,"317,400","715,300",44.4,2.4
2004,E09000001,City of London,Black,,,,
2004,E09000002,Barking and Dagenham,Black,"8,400","11,800",70.9,18.3
2004,E09000003,Barnet,Black,"4,100","9,900",41.4,31.1
2004,E09000004,Bexley,Black,"4,700","5,400",88.3,23.4
2004,E09000005,Brent,Black,"13,200","27,800",47.7,15.5
2004,E09000006,Bromley,Black,"5,200","6,300",83.2,27.3
2004,E09000007,Camden,Black,"5,700","14,300",39.8,21
2004,E09000008,Croydon,Black,"20,100","29,600",67.9,15.9
2004,E09000009,Ealing,Black,"13,300","19,600",67.9,18.7
2004,E09000010,Enfield,Black,"11,100","20,100",55.3,20.2
2004,E09000011,Greenwich,Black,"11,300","19,700",57.6,16.7
2004,E09000012,Hackney,Black,"14,500","33,000",44,12.7
2004,E09000013,Hammersmith and Fulham,Black,"5,000","11,600",43.1,23.1
2004,E09000014,Haringey,Black,"12,700","25,100",50.5,14.1
2004,E09000015,Harrow,Black,"3,400","8,000",43,30.7
2004,E09000016,Havering,Black,"2,500","3,200",80.1,
2004,E09000017,Hillingdon,Black,"3,100","5,800",53,34.6
2004,E09000018,Hounslow,Black,"4,700","7,300",64.6,26.2
2004,E09000019,Islington,Black,"5,900","14,700",40.1,17.8
2004,E09000020,Kensington and Chelsea,Black,"2,500","6,100",40,26.8
2004,E09000021,Kingston upon Thames,Black,"1,000","1,900",52.5,
2004,E09000022,Lambeth,Black,"22,700","44,200",51.3,14.3
2004,E09000023,Lewisham,Black,"19,800","31,000",63.8,13.9
2004,E09000024,Merton,Black,"7,100","8,400",84.5,19.2
2004,E09000025,Newham,Black,"19,100","30,300",62.9,14.1
2004,E09000026,Redbridge,Black,"10,200","13,600",75,19.4
2004,E09000027,Richmond upon Thames,Black,800,800,100,
2004,E09000028,Southwark,Black,"23,300","38,400",60.7,14
2004,E09000029,Sutton,Black,"2,900","4,600",62.4,32.7
2004,E09000030,Tower Hamlets,Black,"3,800","9,200",41.4,22
2004,E09000031,Waltham Forest,Black,"15,400","27,600",55.9,14.3
2004,E09000032,Wandsworth,Black,"11,600","16,500",70.4,18.2
2004,E09000033,Westminster,Black,"5,600","8,900",62.5,24
2004,E13000001,Inner London,Black,"152,100","283,500",53.7,4.7
2004,E13000002,Outer London,Black,"142,700","231,300",61.7,5.2
2004,E12000001,North East,Black,"2,200","3,200",66.6,23.4
2004,E12000002,North West,Black,"21,900","40,700",53.8,9.9
2004,E12000003,Yorkshire and The Humber,Black,"19,000","32,100",59.2,12.7
2004,E12000004,East Midlands,Black,"18,500","31,400",58.9,10.3
2004,E12000005,West Midlands,Black,"48,200","77,800",61.9,7.8
2004,E12000006,East,Black,"34,800","44,100",78.9,6.5
2004,E12000007,London,Black,"294,900","514,800",57.3,3.5
2004,E12000008,South East,Black,"35,500","49,700",71.3,6.8
2004,E12000009,South West,Black,"12,000","17,800",67.4,13.1
2004,W92000004,Wales,Black,"2,800","4,800",59.5,20.1
2004,S92000003,Scotland,Black,"3,700","6,400",57.7,22.1
2004,N92000002,Northern Ireland,Black,,,,
2004,E92000001,England,Black,"486,900","811,800",60,2.4
2004,K04000001,England and Wales,Black,"489,700","816,600",60,2.4
2004,K03000001,Great Britain,Black,"493,400","823,000",60,2.4
2004,K02000001,United Kingdom,Black,"493,700","823,500",59.9,2.4
2004,E09000001,City of London,Other,,,,
2004,E09000002,Barking and Dagenham,Other,"1,600","4,400",36.6,
2004,E09000003,Barnet,Other,"15,900","25,200",63.1,18.4
2004,E09000004,Bexley,Other,"2,500","2,500",100,
2004,E09000005,Brent,Other,"12,100","20,900",58.1,18.1
2004,E09000006,Bromley,Other,"3,700","4,600",79.1,34.9
2004,E09000007,Camden,Other,"6,200","14,700",42.3,20.8
2004,E09000008,Croydon,Other,"10,500","14,400",73,22.3
2004,E09000009,Ealing,Other,"14,800","28,500",51.9,16.8
2004,E09000010,Enfield,Other,"7,800","12,300",63.4,25.2
2004,E09000011,Greenwich,Other,"5,100","11,900",43,21.5
2004,E09000012,Hackney,Other,"4,900","13,800",35.9,19.2
2004,E09000013,Hammersmith and Fulham,Other,"7,900","16,500",48,20.7
2004,E09000014,Haringey,Other,"6,100","18,100",33.4,15.9
2004,E09000015,Harrow,Other,"9,700","16,100",60.5,21.2
2004,E09000016,Havering,Other,"1,800","2,600",67.8,
2004,E09000017,Hillingdon,Other,"8,200","10,700",76.9,21.5
2004,E09000018,Hounslow,Other,"6,100","11,000",55.7,22
2004,E09000019,Islington,Other,"4,700","12,200",38.4,19.4
2004,E09000020,Kensington and Chelsea,Other,"7,800","16,900",45.9,16.4
2004,E09000021,Kingston upon Thames,Other,"5,600","10,000",56.6,21.7
2004,E09000022,Lambeth,Other,"7,200","12,000",60,28.7
2004,E09000023,Lewisham,Other,"6,600","14,400",46.2,21.2
2004,E09000024,Merton,Other,"10,000","14,300",69.5,19
2004,E09000025,Newham,Other,"10,500","18,200",57.8,18.8
2004,E09000026,Redbridge,Other,"5,800","8,400",69.5,26.5
2004,E09000027,Richmond upon Thames,Other,"2,200","5,100",42.2,33.4
2004,E09000028,Southwark,Other,"6,700","13,600",49.8,25.5
2004,E09000029,Sutton,Other,"4,000","5,300",74.7,27.5
2004,E09000030,Tower Hamlets,Other,"5,900","14,600",40.4,18.2
2004,E09000031,Waltham Forest,Other,"7,000","9,000",78.1,21.3
2004,E09000032,Wandsworth,Other,"9,600","14,700",65.2,21.5
2004,E09000033,Westminster,Other,"13,800","28,300",48.8,14.5
2004,E13000001,Inner London,Other,"98,000","207,900",47.1,5.4
2004,E13000002,Outer London,Other,"134,400","217,200",61.9,5.4
2004,E12000001,North East,Other,"10,500","18,200",57.6,11
2004,E12000002,North West,Other,"35,400","65,100",54.4,7.4
2004,E12000003,Yorkshire and The Humber,Other,"21,500","43,500",49.3,10.6
2004,E12000004,East Midlands,Other,"22,600","39,600",57.1,8.7
2004,E12000005,West Midlands,Other,"29,800","61,600",48.4,8.7
2004,E12000006,East,Other,"42,400","62,900",67.5,6.4
2004,E12000007,London,Other,"232,400","425,100",54.7,3.9
2004,E12000008,South East,Other,"67,400","98,100",68.7,5
2004,E12000009,South West,Other,"19,300","26,500",72.7,9
2004,W92000004,Wales,Other,"10,100","17,700",57,10.8
2004,S92000003,Scotland,Other,"11,400","26,500",43,10.8
2004,N92000002,Northern Ireland,Other,"3,500","5,100",68.6,30.6
2004,E92000001,England,Other,"481,200","840,600",57.2,2.2
2004,K04000001,England and Wales,Other,"491,300","858,300",57.2,2.2
2004,K03000001,Great Britain,Other,"502,700","884,800",56.8,2.2
2004,K02000001,United Kingdom,Other,"506,200","889,900",56.9,2.2
2005,E09000001,City of London,White,"6,900","8,900",77.7,34.4
2005,E09000002,Barking and Dagenham,White,"48,900","77,300",63.2,7.3
2005,E09000003,Barnet,White,"104,900","143,000",73.4,7.7
2005,E09000004,Bexley,White,"95,200","124,700",76.4,6.3
2005,E09000005,Brent,White,"54,800","77,100",71.1,9.3
2005,E09000006,Bromley,White,"135,600","167,000",81.2,5.4
2005,E09000007,Camden,White,"75,100","101,100",74.3,7.5
2005,E09000008,Croydon,White,"114,300","146,200",78.2,6.2
2005,E09000009,Ealing,White,"85,700","114,300",75,7.1
2005,E09000010,Enfield,White,"92,300","133,000",69.4,7.5
2005,E09000011,Greenwich,White,"77,200","112,000",68.9,6.7
2005,E09000012,Hackney,White,"54,300","81,700",66.4,8
2005,E09000013,Hammersmith and Fulham,White,"70,900","94,700",74.8,6
2005,E09000014,Haringey,White,"74,900","102,300",73.2,6.5
2005,E09000015,Harrow,White,"52,300","71,200",73.5,8.8
2005,E09000016,Havering,White,"97,800","132,200",74,6.3
2005,E09000017,Hillingdon,White,"86,200","117,200",73.6,6.6
2005,E09000018,Hounslow,White,"69,600","88,200",78.9,6.7
2005,E09000019,Islington,White,"67,100","99,500",67.4,6.8
2005,E09000020,Kensington and Chelsea,White,"62,000","88,300",70.2,6.7
2005,E09000021,Kingston upon Thames,White,"64,400","85,900",74.9,6.3
2005,E09000022,Lambeth,White,"91,000","121,400",75,7.3
2005,E09000023,Lewisham,White,"84,500","110,600",76.4,6.8
2005,E09000024,Merton,White,"69,800","95,400",73.2,7.1
2005,E09000025,Newham,White,"37,700","63,000",59.9,9.8
2005,E09000026,Redbridge,White,"67,600","93,900",72,7.9
2005,E09000027,Richmond upon Thames,White,"84,600","109,700",77.1,5.6
2005,E09000028,Southwark,White,"82,600","120,200",68.7,7.6
2005,E09000029,Sutton,White,"81,000","103,000",78.6,6
2005,E09000030,Tower Hamlets,White,"50,500","68,500",73.7,7.8
2005,E09000031,Waltham Forest,White,"59,600","83,400",71.4,7.5
2005,E09000032,Wandsworth,White,"127,100","166,300",76.5,6.6
2005,E09000033,Westminster,White,"75,900","105,600",71.8,6.8
2005,E13000001,Inner London,White,"960,500","1,332,100",72.1,2
2005,E13000002,Outer London,White,"1,541,900","2,074,800",74.3,1.6
2005,E12000001,North East,White,"1,092,800","1,575,100",69.4,1
2005,E12000002,North West,White,"2,942,000","4,099,400",71.8,0.8
2005,E12000003,Yorkshire and The Humber,White,"2,225,600","3,018,000",73.7,1
2005,E12000004,East Midlands,White,"1,912,300","2,553,900",74.9,0.9
2005,E12000005,West Midlands,White,"2,206,900","2,983,700",74,0.9
2005,E12000006,East,White,"2,528,400","3,289,600",76.9,0.8
2005,E12000007,London,White,"2,502,400","3,407,000",73.4,1.2
2005,E12000008,South East,White,"3,801,200","4,875,300",78,0.6
2005,E12000009,South West,White,"2,333,900","3,076,700",75.9,0.8
2005,W92000004,Wales,White,"1,267,700","1,819,400",69.7,0.9
2005,S92000003,Scotland,White,"2,365,900","3,225,400",73.4,0.7
2005,N92000002,Northern Ireland,White,"733,200","1,095,800",66.9,2.1
2005,E92000001,England,White,"21,545,600","28,878,600",74.6,0.3
2005,K04000001,England and Wales,White,"22,813,300","30,698,000",74.3,0.3
